A length: 82
Fast reject!1034out of 4146
Fast reject!1035out of 4148
Fast reject!1036out of 4151
Fast reject!1037out of 4157
Fast reject!1038out of 4159
Fast reject!1039out of 4160
Fast reject!1040out of 4161
Fast reject!1041out of 4162
Fast reject!1042out of 4165
Fast reject!1043out of 4167
Fast reject!1044out of 4168
Fast reject!1045out of 4170
Fast reject!1046out of 4171
Fast reject!1047out of 4172
Fast reject!1048out of 4175
Fast reject!1049out of 4176
Fast reject!1050out of 4183
Fast reject!1051out of 4184
Fast reject!1052out of 4185
Fast reject!1053out of 4188
Fast reject!1054out of 4194
Fast reject!1055out of 4199
Fast reject!1056out of 4201
Fast reject!1057out of 4202
Fast reject!1058out of 4209
Fast reject!1059out of 4210
Fast reject!1060out of 4216
Fast reject!1061out of 4217
Fast reject!1062out of 4223
Fast reject!1063out of 4230
Fast reject!1064out of 4234
Fast reject!1065out of 4238
Fast reject!1066out of 4240
Fast reject!1067out of 4243
Fast reject!1068out of 4245
Fast reject!1069out of 4253
Fast reject!1070out of 4254
Fast reject!1071out of 4255
Fast reject!1072out of 4259
Fast reject!1073out of 4261
Fast reject!1074out of 4270
Fast reject!1075out of 4271
Fast reject!1076out of 4272
Fast reject!1077out of 4274
Fast reject!1078out of 4279
Fast reject!1079out of 4280
Fast reject!1080out of 4282
Fast reject!1081out of 4298
Fast reject!1082out of 4302
Fast reject!1083out of 4310
Fast reject!1084out of 4311
Fast reject!1085out of 4313
